book_id,genre,name,author
3207,Travel,Texas Birds: A Folding Pocket Guide to Familiar Species (Pocket Naturalist Guide Series),James Kavanagh
555,"Crafts, Hobbies & Home",A-Z of Embroidery Stitches 2 (A-Z of Needlecraft),
2890,Romance,The Maverick of Copper Creek (Copper Creek Cowboys),R.C. Ryan
2637,Teen & Young Adult,Monster High: The Scary Cute Collection,Lisi Harrison
4004,Medical Books,The ADA Practical Guide to Soft Tissue Oral Disease,Michael A. Kahn
2846,Law,They Wished They Were Honest: The Knapp Commission and New York City Police Corruption,Michael F. Armstrong
3815,Sports & Outdoors,What Horses Reveal: From First Meeting to Friend for Life,Klaus  Ferdinand Hempfling
2526,Religion & Spirituality,Vital Breath of the Dao: Chinese Shamanic Tiger Qigong,Zhongxian Wu
196,Computers & Technology,iPhone Application Development For Dummies,Neal Goldstein
3214,Travel,Ian Fleming Introduces Jamaica,
2605,Engineering & Transportation,Art for London Transport 2015 Calendar,
3677,Literature & Fiction,Seneca: Epistles 66-92 (Loeb No. 76),Seneca
4249,Children's Books,Wild,
2930,Science & Math,"Principles of Optics: Electromagnetic Theory of Propagation, Interference and Diffraction of Light",Max Born
2458,"Health, Fitness & Dieting",No More Fatigue: Why You're So Tired and What You Can Do About It,Jack Challem
3757,Business & Money,"A Social Security Owner's Manual, 3rd Edition: Your Guide to Social Security Retirement, Dependent's, and Survivor's Benefits",Jim Blankenship
104,Reference,The New Testament: A Historical Introduction to the Early Christian Writings,Bart D. Ehrman
1615,Arts & Photography,Stephen Irwin,Vince Aletti
2948,Science Fiction & Fantasy,The Rewind Files,Claire Willett
2459,Biographies & Memoirs,Mao: The Unknown Story,Jung Chang
3697,Sports & Outdoors,"Swimming: Swimming Made Easy- Beginner and Expert Strategies For Becoming A Better Swimmer (Swimming, Swimmers Guide, Swim Strokes, Swimming Better)",Ace McCloud
471,"Crafts, Hobbies & Home",British Diecast Model Toys Catalogue by John Ramsay (Editor) (1-Nov-2001) Hardcover,John Ramsay (Editor)
678,"Mystery, Thriller & Suspense",Sherlock Holmes: The Major Stories with Contemporary Critical Essays (Bedford Series in History & Culture),Arthur Conan Doyle
2140,Christian Books & Bibles,A is for Abinadi: An Alphabet Book of Scripture Heroes,Heidi Poelman
354,Medical Books,Zoonosi e sanità pubblica: Un approccio interdisciplinare per un problema emergente (Italian Edition),
3702,"Cookbooks, Food & Wine",Potatoes (The Australian Women's Weekly Essentials),
4881,Travel,Bride in the Solomons,Osa Johnson
4062,Teen & Young Adult,Consumerism (Opposing Viewpoints),Roman Espejo
4422,Computers & Technology,Social Media Marketing All-in-One For Dummies,Jan Zimmerman
1718,Religion & Spirituality,Fallacies of the Anti Hadith argument,Mr Zubair Ali
3351,Science & Math,Invitation to Dynamical Systems (Dover Books on Mathematics),Prof. Edward R. Scheinerman
862,"Health, Fitness & Dieting",The 7-Day Flat-Belly Tea Cleanse: The Revolutionary New Plan to Melt Up to 10 Pounds of Fat in Just One Week!,Kelly Choi
1197,Comics & Graphic Novels,Moomin Book Five: The Complete Tove Jansson Comic Strip,Tove Jansson
4330,Travel,The Kentucky Wildcats Fans' Bucket List,Ryan Clark
3027,Sports & Outdoors,Coaching the Complete Triple Gun Offense,Tony Demeo
546,Business & Money,"Supply Chain Management: Strategy, Planning and Operations",Sunil Chopra
4195,Children's Books,America : A Patriotic Primer,Lynne Cheney
3951,History,Black Earth: The Holocaust as History and Warning,Timothy Snyder
4282,"Cookbooks, Food & Wine",Agricola Cookbook,Josh Thomsen
4744,Politics & Social Sciences,"A Philosophical Retrospective: Facts, Values, and Jewish Identity (Columbia Themes in Philosophy)",Alan Montefiore
4902,Humor & Entertainment,Kokology: The Game of Self-Discovery,Tadahiko Nagao
3519,"Crafts, Hobbies & Home",Growing Hawaii's Native Plants: A Simple Step-by-Step Approach for Every Species,Kerin L. Lilleeng-Rosenberger
4864,Law,Law Enforcement In The United States,James A. Conser
4882,Self-Help,Kuan Yin Oracle Set,Alana Fairchild
1292,Medical Books,Biological Models in Radiopharmaceutical Development (Developments in Nuclear Medicine),R.M. Lambrecht
4082,Travel,Indiana: Off the beaten path (Off the Beaten Path Indiana),Bill Thomas
144,Literature & Fiction,For the Love of 2am: Poetry For Insomniacs,Zena A. White
4512,Arts & Photography,In a World of Gods and Goddesses: The Mystic Art of Indra Sharma,James H. Bae
4581,"Health, Fitness & Dieting",Introduction to Psychology,James W. Kalat
2194,Test Preparation,CLEP Micro & Macro Economics Examinations Essential Study References 2013,ExamREVIEW
1509,Science & Math,An Acre of Glass: A History and Forecast of the Telescope,J. B. Zirker
3295,Biographies & Memoirs,The Miracle of Castel Di Sangro,Joe McGinniss
1824,Children's Books,Tales of King Arthur (Library of Fantasy & Adventure),Felicity Brooks
563,Teen & Young Adult,"Visit the Zoo, vol. VI",Tom Smith
4508,Business & Money,Asset Building & Community Development,Gary P. (Paul) Green
3021,Romance,Highland Harmony: Avelina and Drew (Clan Grant Series) (Volume 8),Keira Montclair
850,Religion & Spirituality,Gems from the Equinox: Instructions by Aleister Crowley for His Own Magical Order,Aleister Crowley
1155,Travel,"Rick Steves' Europe DVD: Germany, the Swiss Alps, and Travel Skills (Rick Steves' Europe)",
1309,"Cookbooks, Food & Wine",Mast Brothers Chocolate: A Family Cookbook,Rick Mast
3102,Medical Books,Trigger Points (Quickstudy: Academic),Inc. BarCharts
1344,Parenting & Relationships,Active Birth: The New Approach to Giving Birth Naturally (Non),Janet Balaskas
2510,Computers & Technology,What's The Deal With Bitcoins?,Ryan Lancelot
1953,Science Fiction & Fantasy,The Elfrida Goto Trilogy (The Solarian War Saga Books 1-3): Three Full-Length Thrilling Space Opera Novels,Felix R. Savage
3533,History,Leyte 1944: Return to the Philippines (Campaign),Clayton Chun
265,Literature & Fiction,Never Forget About Me,Joseph Starzyk
1704,"Crafts, Hobbies & Home",The Illustrated Encyclopedia of Camellias,Stirling Macoboy
3544,Children's Books,Medicina Prehispanica De Mexico/Prehispanic Medicine of Mexico (Spanish Edition),Viesca Trevino
2717,Christian Books & Bibles,Warning: When I Am an Old Woman I Shall Wear Purple,Jenny Joseph
4158,"Health, Fitness & Dieting",Research Methods in Psychology,David G. Elmes
3103,Science & Math,Underfoot: A Geologic Guide to the Appalachian Trail,V. Collins Chew
3889,Travel,Cascade Lodge : The History of a North Shore Landmark,Eugene A. Glader
430,Teen & Young Adult,Free from OCD: A Workbook for Teens with Obsessive-Compulsive Disorder,Timothy Sisemore PhD
3093,"Cookbooks, Food & Wine","The Real Taste of Jamaica, Rev. Ed.",Enid Donaldson
2468,Computers & Technology,Learning Pandas - Python Data Discovery and Analysis Made Easy,Michael Heydt
2187,Law,U.S. Federal Courts: Attorney Admission Requirements: 2011 Edition,John Okray
2192,Business & Money,"The Bond Book, Third Edition: Everything Investors Need to Know About Treasuries, Municipals, GNMAs, Corporates, Zeros, Bond Funds, Money Market Funds, and More",Annette Thau
2844,Sports & Outdoors,Rescued,Priscilla West
4205,Arts & Photography,"Creative Painting & Beyond: Inspiring tips, techniques, and ideas for creating whimsical art in acrylic, watercolor, gold leaf, and more (Creative...and Beyond)",Alix Adams
3279,Humor & Entertainment,"London Calling: Britain, the BBC World Service and the Cold War",Alban Webb
1650,Religion & Spirituality,Baha'I Prayers: A Selection of Prayers,Baha'u'llah
1812,Calendars,Will Shortz Presents Sudoku: 365 More Challenging Sudoku Puzzles: 2012 Day-to-Day Calendar,Will Shortz
2012,Travel,Ukrainian Bible for Teenagers and Young Adults with Column References / 96 pages Full Color Introductory section that includes Bible History and Maps,Bible Society
4823,Children's Books,Mary Poppins: 80th Anniversary Collection,Dr. P. L. Travers
4780,Medical Books,"Exploring Psychology, 9th Edition",David G. Myers
